ID,korisnik,aktivnost,datum,trajanje_min,kalorije,otkucaji,deleted
385,Sara Vasić,Trčanje,2025-08-22,81,605,153,0
386,Danijel Božić,Trčanje,2025-03-17,59,266,103,0
387,Ivana Stanković,Biciklizam,2024-12-09,103,306,197,0
388,Milica Popović,Biciklizam,2025-12-19,91,276,156,0
389,Vladimir Ilić,Trčanje,2024-05-11,108,743,79,0
390,Ana Radanović,Joga,2024-03-27,20,242,74,0
391,Stefan Vuković,Plivanje,2025-10-20,85,145,93,0
392,Marko Pavlović,Trčanje,2025-08-17,92,306,160,0
393,Aleksa Vuković,Teretana,2024-07-05,82,175,112,0
394,Nemanja Milenković,Joga,2024-03-09,127,282,191,0
395,Marko Jovanović,Plivanje,2024-06-10,11,1203,168,0
396,Kristina Marković,Teretana,2025-05-25,77,1108,178,0
397,Marija Radović,Plivanje,2025-11-28,146,1438,109,0
398,Stefanija Jovanović,Teretana,2025-03-15,150,1278,78,0
399,Teodora Simić,Joga,2025-03-12,60,189,148,0
400,Filip Dimitrijević,Joga,2025-10-15,75,1037,90,0
401,Katarina Radanović,Plivanje,2025-12-17,126,751,116,0
402,Petar Knežević,Joga,2024-10-06,95,617,79,0
403,Nikola Nikolić,Trčanje,2025-01-21,127,1057,187,0
404,Milan Lukić,Biciklizam,2025-08-04,85,1349,94,0
405,Filip Stanković,Joga,2024-06-15,14,430,63,0
406,Vesna Vukić,Biciklizam,2024-04-04,140,256,193,0
407,Luka Vasić,Biciklizam,2024-10-08,156,751,93,0
408,Aleksandar Pavlović,Biciklizam,2025-06-13,45,1300,172,0
409,Stefan Matić,Plivanje,2025-05-09,140,817,164,0
410,Dragana Janković,Trčanje,2025-03-15,87,101,142,0
411,Nikola Milošević,Joga,2024-05-11,50,928,153,0
412,Aleksa Ilić,Biciklizam,2025-07-04,155,1053,116,0
413,Luka Janković,Joga,2024-11-03,50,961,132,0
414,Marko Đorđević,Trčanje,2025-03-10,131,686,174,0
415,Tanja Milenković,Plivanje,2025-10-17,101,280,200,0
416,Vladimir Popović,Teretana,2024-04-08,125,898,120,0
417,Teodora Đorđević,Joga,2025-10-22,40,63,80,0
418,Ivana Kovačević,Teretana,2024-03-06,150,242,89,0
419,Sara Milošević,Plivanje,2025-09-21,150,782,121,0
420,Milica Ilić,Joga,2025-01-17,151,1066,121,0
421,Stefanija Pavlović,Biciklizam,2025-02-02,153,461,144,0
422,Vesna Jovanović,Plivanje,2024-09-15,144,418,109,0
423,Filip Miladinović,Plivanje,2025-06-03,68,218,183,0
424,Aleksa Milenković,Trčanje,2024-09-06,180,1471,71,0
425,Marija Vukić,Teretana,2025-12-29,34,1063,102,0
426,Marko Marković,Joga,2024-10-22,124,785,77,0
427,Tanja Aleksić,Teretana,2024-12-31,43,1030,165,0
428,Jovana Janković,Trčanje,2025-10-27,31,754,113,0
429,Katarina Milošević,Biciklizam,2024-01-06,171,1347,132,0
430,Aleksandar Matić,Teretana,2025-10-14,23,1350,130,0
431,Stefan Lukić,Trčanje,2024-03-15,81,1020,78,0
432,Luka Marković,Biciklizam,2024-10-30,179,251,72,0
433,Milan Radović,Trčanje,2024-05-14,121,224,71,0
434,Ivana Petrović,Teretana,2024-05-14,97,493,148,0
